address,auditResult,confidence,documentCount,evidenceCount,id,lastEvidenceAt,latitude,legacyId,longitude,mapReady,precision,publishReady,publishedAt,reviewed,sceneReady,sourceFinalUrl,sourceHttpStatus,sourceKind,sourceProbeError,sourceReachable,sourceUrl,state,territoryId,title,usefulnessLevel,usefulnessScore,reasons,warnings
,ready,low,1,1,evt_626798ec4081c16088d3feab,2026-09-05T20:08:07Z,,,,False,territory,True,2026-09-05T19:22:36Z,False,False,https://t.me/selskayanovaksubaevo/34767,200,media,,True,https://t.me/selskayanovaksubaevo/34767,resolved,mo-92604151,В Аксубаевской школе №3 открылся агрокласс по направлению «Агроинженерия»,useful,87,,
,needs_review,low,1,1,evt_a8e4a5172c5f588a04db4f68,2026-09-05T20:10:14Z,,,,False,territory,False,2026-09-05T18:56:50Z,False,False,https://t.me/drozzanoe90/20821,200,media,,True,https://t.me/drozzanoe90/20821,reported,mo-92701000,"🚴 на велосипеде/мотоцикле — остановитесь, отойдите на 30 метров; 🚗 в машине — закройте окна и переждите; 🏞 на открытой местности — ложитесь в низину, подальше о",context,36,not_editorially_useful,
,needs_review,low,1,1,evt_f1e51f22c7d0a59702f5389c,2026-09-05T19:32:00Z,,,,False,territory,False,2026-09-05T18:35:00Z,False,False,https://laishevskyi.ru/news/bezopasnost-doroznogo-dvizeniia/policeiskie-primenili-oruzie-dlia-ostanovki-avtomobilia-v-laisevskom-raione,200,media,,True,https://laishevskyi.ru/news/bezopasnost-doroznogo-dvizeniia/policeiskie-primenili-oruzie-dlia-ostanovki-avtomobilia-v-laisevskom-raione,resolved,mo-92634000,"В Лаишевском районе инспекторы ДПС открыли огонь по колесам Lada (ВАЗ) 2114, за рулем которого оказался подросток без прав.",useful,79,summary_too_short,
,ready,medium,1,1,evt_d701b6cda51eb7ecc3116e62,2026-09-05T20:10:56Z,,,,False,territory,True,2026-09-05T17:34:08Z,False,False,https://t.me/vgora_vesti/45740,200,media,,True,https://t.me/vgora_vesti/45740,resolved,mo-92622000,В Татарстане открыт осенний сезон охоты,useful,87,,
,needs_review,medium,1,2,evt_a822c571430a28cbc281c557,2026-09-05T20:08:40Z,,,,False,territory,False,2026-09-05T17:28:16Z,False,False,https://t.me/atnatani/14072,200,media,,True,https://t.me/atnatani/14072,resolved,mo-92613000,На дорогах района зафиксировали рост нарушений ПДД,context,0,not_editorially_useful,
,needs_review,low,1,1,evt_17d6e16579d80db14c036ff9,2026-09-05T19:32:05Z,,,,False,territory,False,2026-09-05T17:27:00Z,False,False,https://yutazy.ru/news/obschestvo/v-tatarstane-startoval-sezon-massovoi-oxoty-na-pernatuiu-dic,200,media,,True,https://yutazy.ru/news/obschestvo/v-tatarstane-startoval-sezon-massovoi-oxoty-na-pernatuiu-dic,resolved,mo-92654000,В республике с сегодняшнего дня открылся массовый осенний сезон охоты на пернатую дичь.,context,59,not_editorially_useful,
,needs_review,low,1,1,evt_c9c2173953c832cc78e70768,2026-09-05T20:00:51Z,,,,False,territory,False,2026-09-05T17:05:02Z,False,False,https://t.me/agr_vesti/55811,200,media,,True,https://t.me/agr_vesti/55811,reported,mo-92644423,До 200 тысяч рублей – на оборудование рабочего места!,context,50,not_editorially_useful,
Менделеевск,ready,low,1,1,evt_30601f8f6cca22922dac218e,2026-09-05T19:32:01Z,55.894251,,52.312064,False,settlement,True,2026-09-05T17:04:00Z,False,False,https://mendeleevskyi.ru/news/gorod-i-gorozhane/mecta-s-detstva-v-mendeleevske-otkrylsia-novyi-bokserskii-klub,200,media,,True,https://mendeleevskyi.ru/news/gorod-i-gorozhane/mecta-s-detstva-v-mendeleevske-otkrylsia-novyi-bokserskii-klub,resolved,mo-92639101,Мечта с детства: в Менделеевске открылся новый боксёрский клуб,useful,79,,
,needs_review,low,1,1,evt_d0ac70ef89496764820d233a,2026-09-05T20:11:02Z,,,,False,territory,False,2026-09-05T16:59:51Z,False,False,https://t.me/zpravda/108635,200,media,,True,https://t.me/zpravda/108635,reported,mo-92628477,"Только представьте: сказочный остров, осенний воздух, от которого кружится голова, и потрясающая наваристая уха… 🐟🔥 Начали по традиции с торжественного шествия",context,20,not_editorially_useful,
,needs_review,low,1,1,evt_b1a407f71a021221ea009be3,2026-09-05T20:08:46Z,,,,False,territory,False,2026-09-05T16:55:26Z,False,False,https://t.me/BavlyinformNEWS/44455,200,media,,True,https://t.me/BavlyinformNEWS/44455,unknown,mo-92614000,"В ОСФР по РТ объяснили, как работодателям снизить штраф за ошибки в отчетах",context,36,not_editorially_useful,
